date,f_open,f_high,f_low,f_close,f_adj_close
2015-05-01,2101.5,2102.5,2080.5,2082.75,1022085
2015-05-04,2109.25,2115.0,2098.0,2101.75,1000837
2015-05-05,2084.0,2111.75,2081.5,2109.5,1590274
2015-05-06,2074.25,2093.75,2061.25,2085.5,1756254
2015-05-07,2084.25,2088.25,2057.0,2074.75,1437746
2015-05-08,2108.5,2113.5,2084.0,2085.25,1379447
2015-05-11,2097.75,2113.5,2095.75,2110.0,1147278
2015-05-12,2095.0,2101.0,2079.25,2097.75,1483837
2015-05-13,2094.5,2106.5,2091.5,2096.25,1341325
2015-05-14,2117.5,2118.25,2092.0,2096.0,1104560
2015-05-15,2119.0,2122.75,2113.25,2117.25,1023893
2015-05-18,2126.0,2128.75,2112.25,2119.25,917101
2015-05-19,2124.5,2134.0,2121.25,2126.75,1001397
2015-05-20,2122.5,2132.25,2119.25,2124.25,1011268
2015-05-21,2128.0,2132.0,2115.0,2120.75,794479
2015-05-22,2124.5,2131.0,2122.75,2129.25,765943
2015-05-26,2105.0,2127.0,2096.0,2124.5,1589652
2015-05-27,2121.0,2124.25,2101.25,2105.75,1290556
2015-05-28,2121.75,2122.75,2110.5,2120.0,1082365
2015-05-29,2106.0,2122.75,2102.25,2121.75,1692162
2015-06-01,2109.25,2117.75,2100.25,2107.0,1338859
2015-06-02,2106.75,2116.0,2094.0,2111.0,1442814
2015-06-03,2116.0,2120.75,2106.75,2107.0,1314954
2015-06-04,2099.0,2116.5,2091.25,2116.25,1717287
2015-06-05,2092.25,2102.75,2083.5,2098.75,1460654
2015-06-08,2078.25,2093.25,2076.25,2092.0,1290922
2015-06-09,2080.0,2084.75,2068.75,2080.0,1449695
2015-06-10,2107.0,2108.0,2080.0,2080.75,1665519
2015-06-11,2109.25,2114.75,2103.25,2106.0,1480514
2015-06-12,2093.0,2109.25,2090.25,2109.0,1134193
2015-06-15,2084.0,2089.75,2071.25,2087.0,1082004
2015-06-16,2097.5,2098.25,2070.5,2083.5,795763
2015-06-17,2097.5,2107.0,2087.0,2097.75,550648
2015-06-18,2123.0,2127.5,2090.5,2097.25,430533
2015-06-19,2118.5,2126.5,2118.25,2123.25,1239246
2015-06-22,2112.75,2122.0,2103.5,2105.75,1095709
2015-06-23,2116.5,2120.5,2111.25,2114.75,837133
2015-06-24,2099.5,2118.5,2099.0,2117.5,1163124
2015-06-25,2094.0,2112.75,2092.0,2101.25,1218149
2015-06-26,2095.75,2100.75,2086.25,2094.75,1321884
2015-06-29,2050.5,2083.25,2047.25,2064.0,2292340
2015-06-30,2054.5,2069.0,2046.75,2054.5,2381572
2015-07-01,2071.0,2077.5,2054.5,2054.5,1496815
2015-07-02,2068.75,2079.0,2062.25,2071.5,1252317
2015-07-06,2064.5,2071.75,2034.25,2068.5,1973058
2015-07-07,2073.75,2078.0,2035.0,2067.75,2531662
2015-07-08,2039.25,2073.25,2036.25,2073.0,2393226
2015-07-09,2041.25,2068.0,2038.25,2039.75,1981972
2015-07-10,2069.0,2074.75,2044.75,2044.75,1573858
2015-07-13,2094.5,2094.75,2052.0,2054.75,1333579
2015-07-14,2102.0,2105.5,2090.5,2094.0,955518
2015-07-15,2104.25,2107.75,2095.0,2102.5,1147598
2015-07-16,2117.0,2118.5,2102.75,2104.0,1107382
2015-07-17,2118.75,2120.0,2112.75,2117.0,903686
2015-07-20,2122.0,2126.25,2116.5,2118.0,937630
2015-07-21,2114.5,2125.0,2106.75,2121.25,1209300
2015-07-22,2108.0,2112.0,2102.25,2107.75,1224393
2015-07-23,2098.5,2113.75,2091.5,2109.25,1437249
2015-07-24,2077.5,2104.0,2069.75,2101.0,1669725
2015-07-27,2064.5,2080.75,2056.5,2078.25,1781810
2015-07-28,2087.25,2089.0,2061.5,2065.5,1725788
2015-07-29,2101.5,2104.25,2084.5,2088.0,1397228
2015-07-30,2103.75,2104.25,2087.75,2099.5,1286157
2015-07-31,2098.5,2109.25,2095.25,2101.75,1602805
2015-08-03,2091.0,2102.5,2080.0,2098.75,1512106
2015-08-04,2083.0,2096.25,2081.5,2090.5,1327878
2015-08-05,2093.75,2107.0,2082.25,2082.5,1384241
2015-08-06,2079.5,2099.25,2070.0,2094.0,1608876
2015-08-07,2073.5,2082.75,2062.0,2080.0,1596391
2015-08-10,2099.75,2101.25,2071.75,2072.0,1198912
2015-08-11,2079.75,2101.75,2070.75,2100.75,1783349
2015-08-12,2084.25,2085.25,2046.5,2080.75,2364321
2015-08-13,2080.5,2093.0,2073.25,2082.75,1496065
2015-08-14,2089.5,2090.5,2073.75,2079.25,1069465
2015-08-17,2099.25,2100.5,2074.75,2089.5,1292437
2015-08-18,2094.0,2103.75,2090.25,2098.25,1135552
2015-08-19,2072.75,2098.0,2066.5,2093.25,2289064
2015-08-20,2025.5,2077.75,2024.5,2073.5,2583142
2015-08-21,1971.5,2029.0,1967.25,2026.25,4168331
2015-08-24,1871.25,1964.75,1831.0,1964.5,5258752
2015-08-25,1872.75,1948.5,1860.0,1872.75,3658827
2015-08-26,1938.0,1943.0,1850.5,1876.0,3527300
2015-08-27,1989.25,1990.25,1934.5,1941.25,2940255
2015-08-28,1989.75,1992.75,1967.25,1988.25,1968514
2015-08-31,1969.25,1987.75,1959.25,1986.25,1876279
2015-09-01,1916.0,1966.25,1898.75,1965.5,2822050
2015-09-02,1947.0,1949.0,1907.25,1913.5,2178629
2015-09-03,1946.0,1973.5,1942.0,1947.5,2054305
2015-09-04,1921.75,1949.25,1907.75,1947.25,2138986
2015-09-08,1965.75,1968.75,1915.75,1916.75,1880634
2015-09-09,1942.75,1992.0,1935.5,1966.5,2144217
2015-09-10,1949.5,1967.25,1928.5,1943.75,2270403
2015-09-11,1960.25,1962.5,1937.25,1949.5,1045267
2015-09-14,1954.0,1974.25,1946.5,1963.75,893365
2015-09-15,1979.75,1983.0,1945.0,1953.25,1034822
2015-09-16,1998.25,1999.0,1972.75,1979.75,0
2015-09-17,1987.75,2021.5,1982.5,1997.0,0
2015-09-18,1960.0,1993.75,1954.75,1988.0,2423501
2015-09-21,1963.0,1969.0,1938.5,1949.25,1513503
2015-09-22,1932.0,1965.0,1917.75,1964.25,1985152
2015-09-23,1928.5,1941.75,1910.5,1930.5,1423965
2015-09-24,1918.75,1936.25,1897.25,1931.75,2218286
2015-09-25,1919.25,1951.0,1910.25,1913.25,2080724
2015-09-28,1872.0,1929.75,1868.75,1915.5,2354063
2015-09-29,1874.5,1889.75,1861.0,1876.25,2374651
2015-09-30,1908.75,1910.5,1871.25,1875.0,2216643
2015-10-01,1916.75,1929.5,1890.25,1902.5,2052465
2015-10-02,1943.0,1943.75,1883.0,1917.0,2466082
2015-10-05,1974.75,1980.0,1937.25,1941.0,1675519
2015-10-06,1968.5,1982.25,1962.5,1973.0,1606289
2015-10-07,1987.25,1991.25,1960.5,1961.0,1937061
2015-10-08,2006.5,2008.75,1971.0,1987.75,1803978
2015-10-09,2007.5,2014.0,1998.75,2004.0,1378359
2015-10-12,2011.0,2014.0,2001.75,2005.25,804576
2015-10-13,1994.0,2014.75,1991.25,2012.0,1518662
2015-10-14,1984.0,2001.75,1982.5,1991.5,1780661
2015-10-15,2019.0,2019.5,1985.0,1985.75,1731138
2015-10-16,2025.5,2026.5,2012.25,2018.25,1362298
2015-10-19,2027.5,2028.0,2014.25,2024.5,1306548
2015-10-20,2020.5,2031.5,2018.5,2026.5,1276349
2015-10-21,2008.5,2034.25,2007.5,2019.75,1791221
2015-10-22,2053.0,2056.0,2008.5,2010.5,2099217
2015-10-23,2066.0,2074.5,2053.25,2054.25,2067465
2015-10-26,2062.25,2068.0,2057.5,2066.0,1184323
2015-10-27,2060.5,2064.75,2051.25,2063.75,1243601
2015-10-28,2084.5,2085.25,2055.5,2062.0,1890861
2015-10-29,2083.0,2086.5,2073.25,2081.0,1407730
2015-10-30,2073.75,2094.75,2069.75,2084.75,1751269
2015-11-02,2095.5,2100.0,2064.25,2073.0,1284044
2015-11-03,2103.0,2110.25,2089.0,2093.25,1348316
2015-11-04,2094.75,2109.75,2090.5,2102.5,1546504
2015-11-05,2094.0,2104.75,2084.0,2095.5,1538081
2015-11-06,2093.75,2099.0,2077.5,2094.75,1846631
2015-11-09,2073.0,2097.75,2062.0,2092.0,1856213
2015-11-10,2078.0,2079.0,2064.5,2072.25,1286098
2015-11-11,2069.0,2087.25,2067.75,2076.5,1171396
2015-11-12,2040.5,2077.5,2039.5,2068.5,1807653
2015-11-13,2018.5,2046.0,2011.5,2040.5,2128939
2015-11-16,2048.0,2051.0,1998.5,2006.5,1711062
2015-11-17,2049.0,2063.5,2041.5,2047.75,1621036
2015-11-18,2079.75,2082.5,2043.0,2049.75,1543330
2015-11-19,2079.25,2089.25,2075.25,2078.25,1284869
2015-11-20,2088.75,2094.5,2076.0,2078.25,1273905
2015-11-23,2084.25,2093.0,2078.25,2089.75,976103
2015-11-24,2084.75,2091.5,2065.5,2083.0,1517871
2015-11-25,2088.0,2092.5,2082.25,2084.0,746319
2015-11-27,2090.0,2098.25,2081.5,2089.5,653387
2015-11-30,2079.75,2095.0,2078.5,2089.5,1389020
2015-12-01,2100.0,2101.5,2083.5,2085.5,1482186
2015-12-02,2081.5,2105.0,2075.0,2099.5,1725833
2015-12-03,2051.25,2095.25,2040.0,2083.25,2655148
2015-12-04,2088.5,2093.0,2046.75,2053.25,2269530
2015-12-07,2081.0,2095.5,2064.5,2092.25,1699318
2015-12-08,2058.75,2081.5,2050.25,2080.0,2005017
2015-12-09,2042.0,2079.75,2034.25,2059.5,2690846
2015-12-10,2049.25,2067.0,2043.75,2045.75,1814232
2015-12-11,2009.75,2056.25,2005.0,2050.75,1577785
2015-12-14,2018.5,2028.25,1992.25,2008.0,1269316
2015-12-15,2045.5,2054.0,2019.0,2021.75,1039906
2015-12-16,2072.0,2077.0,2040.0,2046.0,575717
2015-12-17,2034.25,2082.25,2032.5,2069.75,408498
2015-12-18,2032.5,2040.25,2022.0,2033.25,2118900
2015-12-21,2015.0,2019.5,1995.25,1997.25,1275266
2015-12-22,2036.0,2036.5,2007.25,2017.0,1144898
2015-12-23,2053.0,2057.75,2030.75,2034.0,1003982
2015-12-24,2051.25,2059.75,2049.0,2052.75,325205
2015-12-28,2048.75,2054.5,2035.25,2051.25,696448
2015-12-29,2072.75,2074.5,2047.5,2049.75,832686
2015-12-30,2054.5,2075.0,2053.5,2072.0,720601
2015-12-31,2035.5,2057.75,2030.25,2055.25,1029390
2016-01-04,2009.0,2043.5,1980.25,2037.75,2216549
2016-01-05,2011.75,2017.0,1992.25,2009.0,1688974
2016-01-06,1986.0,2013.25,1970.5,2010.75,2237518
2016-01-07,1933.0,1991.0,1928.5,1987.75,2969295
2016-01-08,1911.5,1964.75,1910.0,1936.5,2694404
2016-01-11,1914.25,1929.0,1892.5,1909.25,2490336
2016-01-12,1925.0,1940.25,1899.0,1913.5,2428110
2016-01-13,1881.5,1946.5,1878.0,1922.5,2899958
2016-01-14,1914.5,1927.5,1871.0,1883.75,3045826
2016-01-15,1875.0,1921.0,1849.25,1913.5,3441956
2016-01-19,1873.0,1907.5,1856.25,1869.75,2796679
