Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 0, 0)",0,0,c,True,True,True,252,4,False,True,True,625.4948,38994930.3384,50.3865,45.9876,27.8502
1,"(0, 0, 0)",0,0,t,True,True,True,252,4,False,True,True,369.1859,36121193.4451,46.6732,34.7835,74.5564
2,"(0, 0, 0)",0,0,ct,True,True,True,252,4,False,True,True,343.9956,36500621.6124,47.1635,36.5055,78.6631
3,"(0, 0, 0)",0,0,n,False,True,True,252,4,False,True,True,623.6424,38829898.7296,50.1732,46.0147,26.6584
4,"(0, 0, 1)",0,1,c,True,True,True,252,4,False,True,True,348.4739,30228749.1636,39.0594,35.0872,35.6717
5,"(0, 0, 1)",0,1,t,True,True,True,252,4,False,True,True,166.361,30343990.235,39.2083,28.1379,83.7695
6,"(0, 0, 1)",0,1,ct,True,True,True,252,4,False,True,True,191.4219,32068467.4824,41.4366,29.8492,99.2054
7,"(0, 0, 1)",0,1,n,False,True,True,252,4,False,True,True,346.4923,30304493.0711,39.1573,35.2584,33.7259
8,"(0, 0, 2)",0,2,c,True,True,True,252,4,False,True,True,232.2261,26640202.3898,34.4226,30.6511,41.2559
9,"(0, 0, 2)",0,2,t,True,True,True,252,4,False,True,True,134.4748,28663656.7473,37.0371,28.0983,93.9237
10,"(0, 0, 2)",0,2,ct,True,True,True,252,4,False,True,True,116.0777,29737512.9399,38.4247,28.0119,103.1037
11,"(0, 0, 2)",0,2,n,False,True,True,252,4,False,True,True,230.232,26639999.7593,34.4223,30.6868,39.2516
12,"(1, 0, 0)",0,1,c,True,True,True,252,4,False,True,True,120.4355,23818520.45,30.7766,26.7205,30.7607
13,"(1, 0, 0)",0,1,t,True,True,True,252,4,False,True,True,96.5045,26367313.0844,34.07,26.1265,81.0564
14,"(1, 0, 0)",0,1,ct,True,True,True,252,4,False,True,True,80.6871,28078450.2191,36.281,26.3003,77.0772
15,"(1, 0, 0)",0,1,n,False,True,True,252,4,False,True,True,118.4536,23765472.288,30.708,26.6696,31.3657
16,"(1, 0, 1)",0,2,c,True,True,True,252,4,False,True,True,57.8125,24950785.5743,32.2396,25.3261,40.673
17,"(1, 0, 1)",0,2,t,True,True,True,252,4,False,True,True,51.8138,25483438.5637,32.9279,24.9674,105.6985
18,"(1, 0, 1)",0,2,ct,True,True,True,252,4,False,True,True,67.2651,27728581.5166,35.8289,25.9965,106.7343
19,"(1, 0, 1)",0,2,n,False,True,True,252,4,False,True,True,56.1087,24966342.6929,32.2597,25.3637,38.8827
20,"(2, 0, 0)",0,2,c,True,True,True,252,4,False,True,True,74.9049,23736093.0677,30.6701,25.526,43.4568
21,"(2, 0, 0)",0,2,t,True,True,True,252,4,False,True,True,65.0648,25093126.1629,32.4235,25.1691,99.1859
22,"(2, 0, 0)",0,2,ct,True,True,True,252,4,False,True,True,67.3188,27004254.7157,34.893,25.8127,105.1258
23,"(2, 0, 0)",0,2,n,False,True,True,252,4,False,True,True,72.9234,23739629.4755,30.6747,25.5566,35.6243
24,"(0, 1, 0)",1,0,c,True,True,True,252,4,False,True,True,221.7075,24514313.0171,31.6756,26.0473,34.1325
25,"(0, 1, 0)",1,0,t,True,True,True,252,4,False,True,True,225.3693,24690097.8474,31.9028,26.0735,75.6649
26,"(0, 1, 0)",1,0,ct,True,True,True,252,4,False,True,True,225.6031,24588461.3462,31.7715,26.065,85.9263
27,"(0, 1, 0)",1,0,n,False,True,True,252,4,False,True,True,219.8689,24514003.568,31.6752,26.0184,32.8885
28,"(0, 1, 1)",1,1,c,True,True,True,252,4,False,True,True,79.3751,26748790.3775,34.5629,24.7795,37.5155
29,"(0, 1, 1)",1,1,t,True,True,True,252,4,False,True,True,85.7699,25029825.5265,32.3418,24.4601,88.62
30,"(0, 1, 1)",1,1,ct,True,True,True,252,4,False,True,True,87.3839,25005200.0444,32.3099,24.5115,1379.4647
31,"(0, 1, 1)",1,1,n,False,True,True,252,4,False,True,True,34.6141,26086236.8115,33.7068,24.0884,53.1006
32,"(0, 1, 2)",1,2,c,True,True,True,252,4,False,True,True,23.279,26390997.7796,34.1006,23.8921,55.7106
33,"(0, 1, 2)",1,2,t,True,True,True,252,4,False,True,True,40.5999,24758933.9814,31.9917,23.5317,116.5122
34,"(0, 1, 2)",1,2,ct,True,True,True,252,4,False,True,True,42.6749,24746873.4482,31.9761,23.6221,130.949
35,"(0, 1, 2)",1,2,n,False,True,True,252,4,False,True,True,19.8374,26206406.8479,33.862,23.9763,54.7593
36,"(1, 1, 0)",1,1,c,True,True,True,252,4,False,True,True,86.7816,23763559.4976,30.7056,24.1187,49.9654
37,"(1, 1, 0)",1,1,t,True,True,True,252,4,False,True,True,90.9669,23936886.8802,30.9295,24.1269,165.8999
38,"(1, 1, 0)",1,1,ct,True,True,True,252,4,False,True,False,,,,,
39,"(1, 1, 0)",1,1,n,False,True,True,252,4,False,True,False,,,,,
40,"(1, 1, 1)",1,2,c,True,True,True,252,4,False,True,False,,,,,
41,"(1, 1, 1)",1,2,t,True,True,True,252,4,False,True,False,,,,,
42,"(1, 1, 1)",1,2,ct,True,True,True,252,4,False,True,False,,,,,
43,"(1, 1, 1)",1,2,n,False,True,True,252,4,False,True,False,,,,,
44,"(2, 1, 0)",1,2,c,True,True,True,252,4,False,True,False,,,,,
45,"(2, 1, 0)",1,2,t,True,True,True,252,4,False,True,False,,,,,
46,"(2, 1, 0)",1,2,ct,True,True,True,252,4,False,True,False,,,,,
47,"(2, 1, 0)",1,2,n,False,True,True,252,4,False,True,False,,,,,
48,"(0, 2, 0)",2,0,c,True,True,True,252,4,False,True,False,,,,,
49,"(0, 2, 0)",2,0,t,True,True,True,252,4,False,True,False,,,,,
50,"(0, 2, 0)",2,0,ct,True,True,True,252,4,False,True,False,,,,,
51,"(0, 2, 0)",2,0,n,False,True,True,252,4,False,True,False,,,,,
52,"(0, 2, 1)",2,1,c,True,True,True,252,4,False,True,False,,,,,
53,"(0, 2, 1)",2,1,t,True,True,True,252,4,False,True,False,,,,,
54,"(0, 2, 1)",2,1,ct,True,True,True,252,4,False,True,False,,,,,
55,"(0, 2, 1)",2,1,n,False,True,True,252,4,False,True,False,,,,,
56,"(0, 2, 2)",2,2,c,True,True,True,252,4,False,True,False,,,,,
57,"(0, 2, 2)",2,2,t,True,True,True,252,4,False,True,False,,,,,
58,"(0, 2, 2)",2,2,ct,True,True,True,252,4,False,True,False,,,,,
59,"(0, 2, 2)",2,2,n,False,True,True,252,4,False,True,False,,,,,
60,"(1, 2, 0)",2,1,c,True,True,True,252,4,False,True,False,,,,,
61,"(1, 2, 0)",2,1,t,True,True,True,252,4,False,True,False,,,,,
62,"(1, 2, 0)",2,1,ct,True,True,True,252,4,False,True,False,,,,,
63,"(1, 2, 0)",2,1,n,False,True,True,252,4,False,True,False,,,,,
64,"(1, 2, 1)",2,2,c,True,True,True,252,4,False,True,False,,,,,
65,"(1, 2, 1)",2,2,t,True,True,True,252,4,False,True,False,,,,,
66,"(1, 2, 1)",2,2,ct,True,True,True,252,4,False,True,False,,,,,
67,"(1, 2, 1)",2,2,n,False,True,True,252,4,False,True,False,,,,,
68,"(2, 2, 0)",2,2,c,True,True,True,252,4,False,True,False,,,,,
69,"(2, 2, 0)",2,2,t,True,True,True,252,4,False,True,False,,,,,
70,"(2, 2, 0)",2,2,ct,True,True,True,252,4,False,True,False,,,,,
71,"(2, 2, 0)",2,2,n,False,True,True,252,4,False,True,False,,,,,
